?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	»ù´¡Êô?Ô1Àà?Í	»ù´¡Êô?Ô1×î?¡Öµ	»ù´¡Êô?Ô1×î´óÖµ	»ù´¡Êô?Ô2Àà?Í	»ù´¡Êô?Ô2×î?¡Öµ	»ù´¡Êô?Ô2×î´óÖµ	»ù´¡Êô?Ô3Àà?Í	»ù´¡Êô?Ô3×î?¡Öµ	»ù´¡Êô?Ô3×î´óÖµ	»ù´¡Êô?Ô4Àà?Í	»ù´¡Êô?Ô4×î?¡Öµ	»ù´¡Êô?Ô4×î´óÖµ	»ù´¡Êô?Ô5Àà?Í	»ù´¡Êô?Ô5×î?¡Öµ	»ù´¡Êô?Ô5×î´óÖµ	»ù´¡Êô?Ô6Àà?Í	»ù´¡Êô?Ô6×î?¡Öµ	»ù´¡Êô?Ô6×î´óÖµ	»ù´¡Êô?Ô7Àà?Í	»ù´¡Êô?Ô7×î?¡Öµ	»ù´¡Êô?Ô7×î´óÖµ	?èÇóÊô?Ô1Àà?Í	?èÇóÊô?Ô1Ê?Öµ	?èÇóÊô?Ô2Àà?Í	?èÇóÊô?Ô2Ê?Öµ	?èÇóÊô?Ô3Àà?Í	?èÇóÊô?Ô3Ê?Öµ	?èÇóÊô?Ô4Àà?Í	?èÇóÊô?Ô4Ê?Öµ	?èÇóÊô?Ô5Àà?Í	?èÇóÊô?Ô5Ê?Öµ	?èÇóÊô?Ô6Àà?Í	?èÇóÊô?Ô6Ê?Öµ
LiÖt H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng ®en,gi¸ tr? kh«ng cao."	3	2500	1	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng ®en,gi¸ tr? kh«ng cao."	3	2500	2	0	111	10%	10%	93	50	50	85	5	5	150	-10	-10										36	25										
H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa th­êng thÊy, ai c?ng c? thÓ mua ®­îc."	3	5000	3	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	30										
H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa th­êng thÊy, ai c?ng c? thÓ mua ®­îc."	3	5000	4	0	111	20%	20%	93	100	100	85	10	10	150	-20	-20										36	35										
H¾c Kú 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chi?n binh rÊt th?ch c?i."	3	10000	5	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	40										
H¾c Kú 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Lo¹i ngùa chuyªn dïng trong qu©n ®éi, c¸c chi?n binh rÊt th?ch c?i."	3	10000	6	0	111	30%	30%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh kh? lo¹i nµo s¸nh k?p."	3	25000	7	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn H¾c M· 	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·, thÓ lùc vµ hµnh tr×nh kh? lo¹i nµo s¸nh k?p."	3	25000	8	0	111	40%	40%	93	500	500	85	50	50	150	-100	-100										36	55										
¤ Chïy	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng t?ng c?i, lµ lo¹i ""Thiªn L? Danh M·""."	3	50000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	60										
¤ Chïy	0	10	3	\spr\item\equip\horse\horse009.spr	40	2	3	"Së B¸ V­¬ng t?ng c?i, lµ lo¹i ""Thiªn L? Danh M·""."	3	50000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-200	-200										36	72										
LiÖt Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Ngùa l«ng x¸m tÇm th­êng, rÊt kh? b¸n."	4	2500	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Ngùa l«ng x¸m tÇm th­êng, rÊt kh? b¸n."	4	2500	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn."	4	5000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hång M· 	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng x¸m, chØ dïng ®Ó ®i gÇn."	4	5000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hång Ly	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh c?ng c? thÓ s¸nh vµo hµng danh c©u	4	10000	5	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	40										
Hång Ly	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	Lo¹i ngùa trung ®¼ng nh­ng c­íc tr×nh c?ng c? thÓ s¸nh vµo hµng danh c©u	4	10000	6	0	111	30%	30%	93	200	200	85	40	40	150	-50	-50										36	45										
§¹i UyÓn H·n Huy?t M·	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Lo¹i §¹i UyÓn danh m· cùc qu? hi?m,ngh×n vµng kh? mua."	4	25000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn H·n Huy?t M·	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"Lo¹i §¹i UyÓn danh m· cùc qu? hi?m,ngh×n vµng kh? mua."	4	25000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
XÝch Kú	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"C?ng ch?nh lµ Kú K?,mét trong t¸m con danh m· cña Chu Môc V­¬ng."	4	50000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
XÝch Kú	0	10	4	\spr\item\equip\horse\horse002.spr	40	2	3	"C?ng ch?nh lµ Kú K?,mét trong t¸m con danh m· cña Chu Môc V­¬ng."	4	50000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
¤ V©n §¹p TuyÕt	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	"TuyÖt th? danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi c? thÓ mua."	5	250000	1	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
XÝch Thè	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"C?ng ®­îc x?p vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	5	250000	2	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
TuyÕt ¶nh	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	"TuyÖt th? danh m·, sung m·n b¸ kh?, Tµo Th¸o ®· t?ng c?i."	5	250000	3	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
§Ých L«	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	"TuyÖt th? danh m·, truy phong ho¸n v?, ngµy ®i ngh×n dÆm."	5	250000	4	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
ChiÕu D¹ Ngäc S­ Tö	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" c? søc m¹nh phi th­êng, c­?i m©y ®¹p gi?."	5	250000	5	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
¤ V©n §¹p TuyÕt	0	10	5	\spr\item\equip\horse\horse010.spr	40	2	3	"TuyÖt th? danh m·, chØ nh÷ng bËc v­¬ng gi¶ míi c? thÓ mua."	5	250000	6	0	111	80%	80%	93	1000	1000	85	200	200	150	200	200										36	80										
XÝch Thè	0	10	5	\spr\item\equip\horse\horse011.spr	40	2	3	"C?ng ®­îc x?p vµo hµng ""Thiªn h¹ ®Ö nhÊt m·""."	5	250000	7	0	111	80%	80%	93	1000	1000	85	500	500	150	200	200										36	80										
TuyÕt ¶nh	0	10	5	\spr\item\equip\horse\horse005.spr	40	2	3	"TuyÖt th? danh m·, sung m·n b¸ kh?, Tµo Th¸o ®· t?ng c?i."	5	250000	8	0	111	80%	80%	93	1000	1000	85	200	200	150	500	500										36	80										
§Ých L«	0	10	5	\spr\item\equip\horse\horse008.spr	40	2	3	"TuyÖt th? danh m·, truy phong ho¸n v?, ngµy ®i ngh×n dÆm."	5	250000	9	0	111	80%	80%	93	1000	1000	85	300	300	150	300	300										36	80										
ChiÕu D¹ Ngäc S­ Tö	0	10	5	\spr\item\equip\horse\horse012.spr	40	2	3	"Lµ lo¹i ""ThÇn c©u"" c? søc m¹nh phi th­êng, c­?i m©y ®¹p gi?."	5	250000	10	0	111	100%	100%	93	1000	1000	85	200	200	150	200	200										36	80										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
B«n Tiªu	0	10	6	\spr\item\equip\horse\horse010.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	233	500	500							36	120										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	1	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	2	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	3	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	4	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	5	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	6	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	7	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	8	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	9	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phiªn Vò	0	10	7	\spr\item\equip\horse\horse012.spr	40	2	3	Mét trong t¸m con danh c©u cña Chu Môc V­¬ng	5	250000	10	0	111	100%	100%	93	1000	1000	85	500	500	150	500	500	114	10	10	233	500	500	241	10	10	36	150										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	1	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	2	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	3	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	4	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	5	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	6	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	7	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	8	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	9	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
Phi V©n	0	10	8	\spr\item\equip\horse\horse004.spr	40	2	3	"Mét trong t¸m con tuÊn m· cña Chu Môc V­¬ng, c­?i m©y ®¹p gi?"	5	50000	10	0	111	100%	100%	93	1000	1000	85	400	400	150	200	200										36	100										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	1	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	2	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
XÝch Long C©u	0	10	9	\spr\item\equip\horse\horse008.spr	40	2	3	Mét trong nh÷ng thÇn m· ®i m©y v? gi?	6	250000	3	0	111	100%	100%	93	1200	1200	85	700	700	150	700	700	114	10	10	233	700	700	241	10	10	36	130										
