Num	Name	Quality	Genre	Detail	Particular	Level	GoodsFive	Magiclevel	TaskValue
8000	BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	1	51	0	0	0	1	0	10000
8000	BÝch H¶i Hoµn Ch©u Vò Liªn	1	52	0	0	0	1	0	10000
8000	BÝch H¶i Hång L¨ng Ba	1	54	0	0	0	1	0	10000
8000	V« TrÇn Ngäc N÷ Tè T©m qu¸n	1	41	0	0	0	1	0	10000
8000	V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	1	42	0	0	0	1	0	10000
8000	V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	1	44	0	0	0	1	0	10000
8000	Ma ThÞ LÖ Ma PhÖ T©m Liªn	1	112	0	0	0	1	0	10000
8000	Ma ThÞ s¬n  H¶i Phi Hång Lý 	1	115	0	0	0	1	0	10000
8000	L«i Khung Thiªn §Þa Hé phï 	1	132	0	0	0	1	0	10000
8000	L«i Khung Hµn Tung B¨ng B¹ch quan 	1	131	0	0	0	1	0	10000
8000	Vô ¶o B¾c Minh §¹o qu¸n	1	136	0	0	0	1	0	10000
8000	Vô ¶o Ki B¸n phï chó	1	137	0	0	0	1	0	10000
8000	Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	1	139	0	0	0	1	0	10000
8000	Vô ¶o Tung Phong TuyÕt ¶nh ngoa	1	140	0	0	0	1	0	10000
8000	S©m Hoang Phi Tinh §o¹t Hån	1	81	0	0	0	1	0	10000
8000	Ngù Long L­îng Ng©n B¶o ®ao	1	26	0	0	0	1	0	10000
8000	Ngù Long Thiªn M«n Thóc Yªu hoµn	1	28	0	0	0	1	0	10000
8000	B¨ng Hµn §¬n ChØ Phi §ao	1	71	0	0	0	1	0	10000
8000	§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	1	86	0	0	0	1	0	10000
8000	§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	1	87	0	0	0	1	0	10000
8000	§Þa Ph¸ch KhÊu T©m tr¹c	1	89	0	0	0	1	0	10000
8000	§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	1	90	0	0	0	1	0	10000
8000	Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	1	107	0	0	0	1	0	10000
8000	§Þch Kh¸i Lôc Ngäc Tr­îng	1	96	0	0	0	1	0	10000
8000	V« Ma Hång Truy NhuyÔn Th¸p hµi	1	40	0	0	0	1	0	10000
8000	CËp Phong Ch©n Vò KiÕm	1	121	0	0	0	1	0	10000
8000	Tª Hoµng Phông Nghi ®ao	1	46	0	0	0	1	0	10000
8000	KÕ NghiÖp B«n L«i Toµn Long th­¬ng	1	21	0	0	0	1	0	10000
8000	Ma S¸t Quû Cèc U Minh Th­¬ng	1	101	0	0	0	1	0	10000
