enum_core	string
PLAYER_STALL_SONGJING_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm TÝch Lòy Tèng Kim ®ang cã vµ ®iÓm TÝch Lòy Tèng Kim nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_HONOUR_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm Vinh Dù ®ang cã vµ ®iÓm Vinh Dù nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_RESPECT_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm Uy Danh ®ang cã vµ ®iÓm Uy Danh nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_ENERGY_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm Tinh Lùc ®ang cã vµ ®iÓm Tinh Lùc nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_ARENA_CREDIT_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm TÝch Lòy Hu©n Ch­¬ng ®ang cã vµ ®iÓm TÝch Lòy Hu©n Ch­¬ng nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_GOLDCOIN_SCORE_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm TÝch Lòy Hu©n Ch­¬ng ®ang t¹m khãa!
PLAYER_STALL_SELLER_FULL_GOLDCOIN_SCORE	Sè ®iÓm TÝch Lòy Hu©n Ch­¬ng hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_NOT_ENOUGH_GOLDCOIN_SCORE	Kh«ng ®ñ ®iÓm TÝch Lòy Hu©n Ch­¬ng!
PLAYER_STALL_GOLDCOIN_SCORE_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm TÝch Lòy Hu©n Ch­¬ng ®ang cã vµ ®iÓm TÝch Lòy Hu©n Ch­¬ng nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
CHAT_LIMIT_TIME_ERROR	Gñi tin qu¸ nhanh! Vui lßng ®îi %d gi©y
PLAYER_STALL_EXCHANGE_CURRENCY_MONEY	B¸n b»ng Ng©n L­îng
PLAYER_STALL_EXCHANGE_CURRENCY_COIN	B¸n b»ng xu
PLAYER_STALL_EXCHANGE_CURRENCY_REFINING	B¸n b»ng Tinh LuyÖn Th¹ch
PLAYER_STALL_EXCHANGE_CURRENCY_REPUTE	B¸n b»ng ®iÓm Danh Väng
PLAYER_STALL_EXCHANGE_CURRENCY_FUYUAN	B¸n b»ng ®iÓm Phóc Duyªn
PLAYER_STALL_EXCHANGE_CURRENCY_SONGJING	B¸n b»ng ®iÓm TÝch Lòy Tèng Kim
PLAYER_STALL_EXCHANGE_CURRENCY_HONOUR	B¸n b»ng ®iÓm Vinh Dù
PLAYER_STALL_EXCHANGE_CURRENCY_RESPECT	B¸n b»ng ®iÓm Uy Danh
PLAYER_STALL_EXCHANGE_CURRENCY_ENERGY	B¸n b»ng ®iÓm Tinh Lùc
PLAYER_STALL_EXCHANGE_CURRENCY_ARENA_CREDITS	B¸n b»ng ®iÓm TÝch Lòy Hu©n Ch­¬ng
TONG_JOIN_NOT_ENOUGH_LEVEL	§¼ng cÊp %d míi ®­îc vµo bang!
PLAYER_TRADE_CAN_NOT_EXCHANGE_SERVER	§ang trong tr¹ng th¸i diao dÞch, kh«ng thÓ thao t¸c!
PLAYER_STALL_CAN_NOT_EXCHANGE_SERVER	§ang më cöa hµng, kh«ng thÓ thao t¸c!
PLAYER_EXCHANGE_SERVER_DUPLICATE_ROLE	Exchange server duplicate!!!!
PLAYER_TRANSFER_DUPLICATE_ROLE	Transfer role duplicate!!!!
MSG_PLAYER_CHECK_TRADING_ERROR1	B¹n ®ang trong tr¹ng th¸i giao dÞch, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_CHECK_TRADING_ERROR2	%s ®ang trong tr¹ng th¸i giao dÞch, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_STALL_STATE_ERROR1	B¹n ®ang trong tr¹ng th¸i më cöa hµng, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_STALL_STATE_ERROR2	%s ®ang trong tr¹ng th¸i më cöa hµng, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_IS_OFFLINE_LIVE_ERROR1	B¹n ®ang trong tr¹ng th¸i ñy th¸c, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_IS_OFFLINE_LIVE_ERROR2	%s ®ang trong tr¹ng th¸i ñy th¸c, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_IS_EXCHANGE_SERVER_ERROR1	B¹n ®ang trong tr¹ng th¸i chuyÓn m¸y chñ, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_IS_EXCHANGE_SERVER_ERROR2	%s ®ang trong tr¹ng th¸i chuyÓn m¸y chñ, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_FOUND_AROUND_PLAYER_ERROR	Kh«ng t×m thÊy ng­êi ch¬i %s ë gÇn
MSG_FIGHT_MODE_ERROR1	§ang trong tr¹ng th¸i chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_FIGHT_MODE_ERROR2	B¹n ®ang trong tr¹ng th¸i chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_FIGHT_MODE_ERROR3	%s ®ang trong tr¹ng th¸i chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_FIGHT_MODE_ERROR4	§ang trong tr¹ng th¸i phi chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_FIGHT_MODE_ERROR5	B¹n ®ang trong tr¹ng th¸i phi chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_FIGHT_MODE_ERROR6	%s ®ang trong tr¹ng th¸i phi chiÕn ®Êu, kh«ng thÓ thùc hiÖn
MSG_PLAYER_OANTUTI_ERROR1	B¹n ®ang ch¬i O¼n Tï T× cïng ng­êi kh¸c, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_OANTUTI_ERROR2	%s ®ang ch¬i O¼n Tï T× cïng ng­êi kh¸c, kh«ng thÓ thùc hiÖn thao t¸c nµy
MSG_PLAYER_OANTUTI_ERROR3	%s tõ chèi ch¬i O¼n Tï T×
MSG_PLAYER_OANTUTI_ERROR4	%s ®ång ý ch¬i O¼n Tï T×
MSG_OANTUTI_INPUT_MONEY	§èi ph­¬ng ®Æt vµo sè tiÒn %d l­îng
MSG_OANTUTI_WIN_MONEY	B¹n ch¬i O¼n Tï T× th¾ng %d l­îng
MSG_OANTUTI_LOST_MONEY	B¹n ch¬i O¼n Tï T× thua mÊt %d l­îng
MSG_OANTUTI_INPUT_COIN	§èi ph­¬ng ®Æt vµo %d xu
G_STRING_REPUTE	Danh Väng
