ATLAS_NAME	ATLAS_GENRE	ATLAS_DETAILTYPE	ATLAS_PARTICULAR	1_NAME	1_GENRE	1_DETAILTYPE	1_PARTICULAR	1_LEVEL	1_SERIES	1_MAGIC_ID	2_NAME	2_GENRE	2_DETAILTYPE	2_PARTICULAR	2_LEVEL	2_SERIES	2_MAGIC_ID	3_NAME	3_GENRE	3_DETAILTYPE	3_PARTICULAR	3_LEVEL	3_SERIES	3_MAGIC_ID	4_NAME	4_GENRE	4_DETAILTYPE	4_PARTICULAR	4_LEVEL	4_SERIES	4_MAGIC_ID	5_NAME	5_GENRE	5_DETAILTYPE	5_PARTICULAR	5_LEVEL	5_SERIES	5_MAGIC_ID	6_NAME	6_GENRE	6_DETAILTYPE	6_PARTICULAR	6_LEVEL	6_SERIES	6_MAGIC_ID	DES_NAME	DES_QUALITY	DES_GENRE	DES_DETAILTYPE	DES_PARTICULAR	DES_LEVEL	DES_SERIES	DES_PIECE	DES_PIECESUM	DES_VALUES
§å phæ Hoµng Kim - Tø Kh«ng Gi¸ng Ma Giíi §ao	6	1	249	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	MËt Ng©n kho¸ng	6	1	202	8		126	Chu Sa kho¸ng	6	1	204	6		137	HuyÒn ThiÕt kho¸ng	6	1	200	7		115	Phï Dung Th¹ch	6	1	203	7	0	121	Vâ L©m MËt TÞch	6	1	26				Tø Kh«ng Gi¸ng Ma Giíi ®ao	1	0	11				0	0	
§å phæ Hoµng Kim - Tø Kh«ng Tö Kim Cµ Sa	6	1	250	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	ThiÕu L©m §ao Ph¸p (QuyÓn 3)	6	1	58				HuyÒn ThiÕt Kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	8	3	104															Tø Kh«ng Tö Kim Cµ Sa	1	0	12				0	0	
§å phæ Hoµng Kim - Tø Kh«ng Hé Ph¸p Yªu §¸i	6	1	251	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	2	102	Phï Dung Th¹ch	6	1	203	8	4	108	ThiÕu L©m §ao ph¸p. QuyÓn 3	6	1	58				Tø Kh«ng Hé ph¸p Yªu ®¸i	1	0	13				0	0	
§å phæ Hoµng Kim - Tø Kh«ng NhuyÔn B× Hé UyÓn	6	1	252	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	2	110	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	8	2	102	Chu Sa kho¸ng	6	1	204	7		89	ThiÕu L©m §ao ph¸p. QuyÓn 3	6	1	58				Tø Kh«ng NhuyÔn B× Hé UyÓn	1	0	14				0	0	
§å phæ Hoµng Kim - Tø Kh«ng Giíi LuËt Ph¸p Giíi	6	1	253	Vâ L©m MËt TÞch	6	1	26																																							Tø Kh«ng Giíi LuËt Ph¸p giíi	1	0	15				0	0	
§å phæ Hoµng Kim - H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	6	1	254	Khæng T­íc Th¹ch	6	1	201	6	2	99	MËt Ng©n kho¸ng	6	1	202	8		126	Chu Sa kho¸ng	6	1	204	6		136	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	8	0	121	Chung Nhò th¹ch	6	1	205	7	2	123	H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	1	0	16				0	0	
§å phæ Hoµng Kim - H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	6	1	255	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Thiªn V­¬ng Chïy ph¸p. QuyÓn 1	6	1	37				HuyÒn ThiÕt Kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	8	2	102															H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	1	0	17				0	0	
§å phæ Hoµng Kim - H¸m Thiªn Uy Vò Thóc Yªu §¸i	6	1	256	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	2	102	Phï Dung Th¹ch	6	1	203	8	4	108	Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	6	1	37				H¸m Thiªn Uy Vò Thóc yªu ®¸i	1	0	18				0	0	
§å phæ Hoµng Kim - H¸m Thiªn Hæ §Çu KhÈn Thóc UyÓn	6	1	257	Vâ L©m MËt TÞch	6	1	26																																							H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	1	0	19				0	0	
§å phæ Hoµng Kim - H¸m Thiªn Thõa Long ChiÕn Ngoa	6	1	258	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Vâ L©m MËt TÞch	6	1	26				HuyÒn ThiÕt kho¸ng	6	1	200	7		111	Phï Dung Th¹ch	6	1	203	6	1	103	Chung Nhò th¹ch	6	1	205	5	3	98	Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1	6	1	37				H¸m Thiªn Thõa Long ChiÕn Ngoa	1	0	20				0	0	
§å phæ Hoµng Kim - KÕ NghiÖp B«n L«i Toµn Long Th­¬ng	6	1	259	Khæng T­íc Th¹ch	6	1	201	5	2	99	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	5		136	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	5	0	121	Chung Nhò th¹ch	6	1	205	5	2	123	KÕ NghiÖp B«n L«i Toµn Long th­¬ng	1	0	21				0	0	
§å phæ Hoµng Kim - KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	6	1	260	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	6	1	38				HuyÒn ThiÕt kho¸ng	6	1	200	8		113	Phï Dung Th¹ch	6	1	203	8	3	104															KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	1	0	22				0	0	
§å phæ Hoµng Kim - KÕ NghiÖp B¹ch Hæ V« Song KhÊu	6	1	261	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	2	102	Phï Dung Th¹ch	6	1	203	8	4	108	Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2	6	1	38				KÕ NghiÖp B¹ch Hæ V« Song khÊu	1	0	23				0	0	
§å phæ Hoµng Kim - KÕ NghiÖp Háa V©n Kú L©n thñ 	6	1	262	Vâ L©m MËt TÞch	6	1	26																																							KÕ NghiÖp HáaV©n Kú L©n Thñ 	1	0	24				0	0	
§å phæ Hoµng Kim - KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	6	1	263	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Thiªn V­¬ng Th­¬ng Ph¸p	6	1	38				HuyÒn ThiÕt Kho¸ng	6	1	200	7		111	Phï Dung Th¹ch	6	1	203	8	2	102	Phï Dung Th¹ch	6	1	203	7	3	98	Vâ L©m MËt TÞch	6	1	26				KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	1	0	25				0	0	
§å phæ Hoµng Kim - Ngù Long L­îng Ng©n B¶o §ao	6	1	264	Khæng T­íc Th¹ch	6	1	201	5	2	99	MËt Ng©n kho¸ng	6	1	202	7		126	Chu Sa kho¸ng	6	1	204	5		136	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	5	0	121	Chung Nhò th¹ch	6	1	205	5	2	123	Ngù Long L­îng Ng©n B¶o ®ao	1	0	26				0	0	
§å phæ hoµng kim - Ngù Long ChiÕn ThÇn Qua Trôy	6	1	265	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	1	103	Khæng T­íc Th¹ch	6	1	201	8	2	102	MËt Ng©n kho¸ng	6	1	202	7		114	Thiªn V­¬ng §ao ph¸p.QuyÓn 3	6	1	39											Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	1	0	27				0	0	
§å phæ Hoµng Kim - Ngù Long Thiªn M«n Thóc Yªu Hoµn	6	1	266	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	6	2	102	Phï Dung Th¹ch	6	1	203	5	4	108	Thiªn V­¬ng §ao ph¸p.QuyÓn 3	6	1	39				Ngù Long Thiªn M«n Thóc Yªu hoµn	1	0	28				0	0	
§å phæ Hoµng Kim - Ngù Long TÊn Phong Hé UyÓn	6	1	267	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Vâ L©m MËt TÞch	6	1	26				Thiªn V­¬ng §ao Ph¸p	6	1	39				Phï Dung Th¹ch	6	1	203	8	2	102	Phï Dung Th¹ch	6	1	203	7	3	98	Vâ L©m MËt TÞch	6	1	26				Ngù Long TÊn Phong Hé yÓn	1	0	29				0	0	
§å phæ Hoµng Kim - Ngù Long TuyÖt MÖnh ChØ Hoµn	6	1	268	Vâ L©m MËt TÞch	6	1	26																																							Ngù Long TuyÖt MÖnh ChØ hoµn	1	0	30				0	0	
§å phæ Hoµng Kim - V« Gian û Thiªn KiÕm	6	1	269	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	MËt Ng©n kho¸ng	6	1	202	6		126	Chu Sa kho¸ng	6	1	204	5		137	HuyÒn ThiÕt kho¸ng	6	1	200	6		115	Phï Dung Th¹ch	6	1	203	5	0	121	Vâ L©m MËt TÞch	6	1	26				V« Gian û Thiªn KiÕm	1	0	31				0	0	
§å phæ Hoµng Kim - V« Gian Thanh Phong Truy Y	6	1	270	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	DiÖt KiÕm MËt TÞch	6	1	42				HuyÒn ThiÕt Kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	7	3	104															V« Gian Thanh Phong Truy Y	1	0	32				0	0	
§å phæ Hoµng Kim - V« Gian PhÊt V©n Ti §¸i	6	1	271	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	3	104	Chu Sa kho¸ng	6	1	204	8		89	DiÖt KiÕm MËt TÞch	6	1	42				V« Gian PhÊt V©n Ti ®¸i	1	0	33				0	0	
§å phæ Hoµng Kim - V« Gian CÇm VËn Hé UyÓn	6	1	272	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	DiÖt KiÕm MËt TÞch	6	1	42				Phï Dung Th¹ch	6	1	203	8	3	106	Phï Dung Th¹ch	6	1	203	7	3	104	Chu Sa kho¸ng	6	1	204	7		89	Vâ L©m MËt TÞch	6	1	26				V« Gian CÇm VËn Hé UyÓn	1	0	34				0	0	
§å phæ Hoµng Kim - V« Gian B¹ch Ngäc Bµn ChØ 	6	1	273	Vâ L©m MËt TÞch	6	1	26																																							V« Gian B¹ch Ngäc Bµn ChØ 	1	0	35				0	0	
§å phæ Hoµng Kim - V« Ma Ma Ni Qu¸n	6	1	274	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	3	104	Phï Dung Th¹ch	6	1	203	8	4	108	Phï Dung Th¹ch	6	1	203	8	3	106	Chu Sa kho¸ng	6	1	204	8		89	Phï Dung Th¹ch	6	1	203	8	2	169	V« Ma Ma Ni qu¸n	1	0	36				0	0	
§å phæ Hoµng Kim - V« Ma Tö Kh©m Cµ Sa	6	1	275	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	MËt Ng©n Kho¸ng	6	1	202	6		89	HuyÒn ThiÕt Kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	7	3	104															V« Ma Tö Kh©m Cµ Sa	1	0	37				0	0	
§å phæ Hoµng Kim - V« Ma B¨ng Tinh ChØ Hoµn	6	1	276	Vâ L©m MËt TÞch	6	1	26																																							V« Ma B¨ng Tinh ChØ Hoµn	1	0	38				0	0	
§å phæ Hoµng Kim - V« Ma TÈy T­îng Ngäc KhÊu	6	1	277	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Phï Dung Th¹ch	6	1	203	6	2	99	Nga Mi  PhËt Quang Ch­ëng MËt TÞch	6	1	43				Khæng T­íc Th¹ch	6	1	201	6	2	169	Vâ L©m MËt TÞch	6	1	26											V« Ma TÈy T­îng Ngäc KhÊu 	1	0	39				0	0	
§å phæ Hoµng Kim - M¶nh Hång Truy NhuyÔn Th¸p Hµi 	6	1	278	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Vâ L©m MËt TÞch	6	1	26				Chu Sa kho¸ng	6	1	204	6		89	HuyÒn ThiÕt kho¸ng	6	1	200	6		111	Phï Dung Th¹ch	6	1	203	5	1	103	Nga Mi  PhËt Quang Ch­ëng MËt TÞch	6	1	43				V« Ma Hång Truy NhuyÔn Th¸p hµi	1	0	40				0	0	
§å phæ Hoµng Kim - V« TrÇn Ngäc N÷ Tè T©m Qu¸n	6	1	279	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Phï Dung Th¹ch	6	1	203	7	4	105	Chu Sa kho¸ng	6	1	204	8		89	Phï Dung Th¹ch	6	1	203	7	4	108	Phæ §é MËt TÞch	6	1	59				V« TrÇn Ngäc N÷ Tè T©m qu¸n	1	0	41				0	0	
§å phæ Hoµng Kim - V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	6	1	280	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	Phæ §é MËt TÞch	6	1	59				Chu Sa kho¸ng	6	1	204	6		89	Khæng T­íc Th¹ch	6	1	201	5	1	103	Phï Dung Th¹ch	6	1	203	5	3	104	Chu Sa kho¸ng	6	1	204	4		114	V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	1	0	42				0	0	
§å phæ Hoµng Kim - V« TrÇn Tõ Bi Ngäc Bµn ChØ 	6	1	281	Vâ L©m MËt TÞch	6	1	26																																							V« TrÇn Tõ Bi Ngäc Ban ChØ 	1	0	43				0	0	
§å phæ Hoµng Kim - V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	6	1	282	Vâ L©m MËt TÞch	6	1	26				HuyÒn ThiÕt Kho¸ng	6	1	200	6		85	Phæ §é MËt TÞch	6	1	59				MËt Ng©n Kho¸ng	6	1	202	6		89															V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	1	0	44				0	0	
§å phæ hoµng kim - V« TrÇn PhËt Quang ChØ Hoµn	6	1	283	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	7	1	103	MËt Ng©n kho¸ng	6	1	202	8		89	Nga Mi  PhËt Quang Ch­ëng MËt TÞch	6	1	43				Chung Nhò th¹ch	6	1	205	6	2	110	Phï Dung Th¹ch	6	1	203	6	1	134	V« TrÇn PhËt Quang ChØ Hoµn	1	0	45				0	0	
§å phæ Hoµng Kim - Tª Hoµng Phông Nghi §ao	6	1	284	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	MËt Ng©n kho¸ng	6	1	202	6		126	Chu Sa kho¸ng	6	1	204	4		137	HuyÒn ThiÕt kho¸ng	6	1	200	6		115	Phï Dung Th¹ch	6	1	203	5	0	121	Vâ L©m MËt TÞch	6	1	26				Tª Hoµng Phông Nghi ®ao	1	0	46				0	0	
§å phæ Hoµng Kim - Tª Hoµng TuÖ T©m Khinh Sa Y	6	1	285	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Thóy Yªn §ao Ph¸p	6	2	40				HuyÒn ThiÕt Kho¸ng	6	1	200	7		113	Phï Dung Th¹ch	6	1	203	7	3	104															Tª Hoµng TuÖ T©m Khinh Sa Y	1	0	47				0	0	
§å phæ Hoµng Kim - Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	6	1	286	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	3	104	Chu Sa kho¸ng	6	1	204	8		89	Thóy Yªn §ao ph¸p	6	1	40				Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	1	0	48				0	0	
§å phæ Hoµng Kim - Tª Hoµng B¨ng Tung CÈm UyÓn	6	1	287	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Thóy Yªn §ao ph¸p	6	1	40				Phï Dung Th¹ch	6	1	203	7	3	106	Phï Dung Th¹ch	6	1	203	7	3	104	Chu Sa kho¸ng	6	1	204	7		89	Vâ L©m MËt TÞch	6	1	26				Tª Hoµng B¨ng Tung CÈm uyÓn	1	0	49				0	0	
§å phæ Hoµng Kim - Tª Hoµng Thóy Ngäc ChØ Hoµn	6	1	288	Vâ L©m MËt TÞch	6	1	26																																							Tª Hoµng Thóy Ngäc ChØ Hoµn	1	0	50				0	0	
§å phæ Hoµng Kim - BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	6	1	289	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Thóy Yªn Song ®ao	6	1	41				Chu Sa kho¸ng	6	1	204	5		89	Phï Dung Th¹ch	6	1	203	4	2	169															BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	1	0	51				0	0	
§å phæ Hoµng Kim - BÝch H¶i Hoµn Ch©u Vò Liªn	6	1	290	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Khæng T­íc Th¹ch	6	1	201	8	3	104	MËt Ng©n Kho¸ng	6	1	202	6		89	Chu Sa Kho¸ng	6	1	204	7		114	Phï Dung Th¹ch	6	1	203	8	1	103	Thóy Yªn Song §ao	6	1	41				BÝch H¶i Hoµn Ch©u Vò Liªn	1	0	52				0	0	
§å phæ Hoµng Kim - BÝch H¶i Hång Linh Kim Ti §¸i	6	1	291	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	1	103	Chu Sa kho¸ng	6	1	204	8		89	Thóy Yªn Song ®ao	6	1	41				BÝch H¶i Hång Linh Kim Ti ®¸i	1	0	53				0	0	
§å phæ Hoµng Kim - BÝch H¶i Hång L¨ng Ba	6	1	292	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	MËt Ng©n kho¸ng	6	1	202	7		89	Chung Nhò th¹ch	6	1	205	6	2	102	HuyÒn ThiÕt kho¸ng	6	1	200	7		117	MËt Ng©n kho¸ng	6	1	202	7		113	Thóy Yªn Song ®ao	6	1	41				BÝch H¶i Hång L¨ng Ba	1	0	54				0	0	
§å phæ Hoµng Kim - BÝch H¶i Khiªn TÕ ChØ Hoµn	6	1	293	Vâ L©m MËt TÞch	6	1	26																																							BÝch H¶i Khiªn TÕ ChØ hoµn	1	0	55				0	0	
§å phæ Hoµng Kim - U Lung Kim Xµ Ph¸t §¸i	6	1	294	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	6	1	47				Chu Sa kho¸ng	6	1	204	6		89	Phï Dung Th¹ch	6	1	203	5	1	172															U Lung Kim Xµ Ph¸t ®¸i	1	0	56				0	0	
§å phæ Hoµng Kim - U Lung XÝch YÕt MËt Trang	6	1	295	HuyÒn ThiÕt kho¸ng	6	1	200	6		85	Ngò §éc Ch­ëng Ph¸p. QuyÓn 2	6	1	47				MËt Ng©n Kho¸ng	6	1	202	7		113	Khæng T­íc Th¹ch	6	1	201	8	3	104	Chu Sa Kho¸ng	6	1	204	6		89	Vâ L©m MËt TÞch	6	1	26				U Lung XÝch YÕt MËt trang	1	0	57				0	0	
§å phæ Hoµng Kim - U Lung Thanh Ng« TriÒn Yªu	6	1	296	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Phï Dung Th¹ch	6	1	203	7	3	104	Chu Sa kho¸ng	6	1	204	8		89	Chung Nhò th¹ch	6	1	205	8	2	110	Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	6	1	47				U Lung Thanh Ng« TriÒn yªu	1	0	58				0	0	
§å phæ Hoµng Kim - U Lung Ng©n ThiÒm Hé UyÓn	6	1	297	Vâ L©m MËt TÞch	6	1	26																																							U Lung Ng©n ThÒm Hé UyÓn	1	0	59				0	0	
§å phæ Hoµng Kim - U Lung MÆc Thï NhuyÔn Lý 	6	1	298	HuyÒn ThiÕt kho¸ng	6	1	200	7		85	Phï Dung Th¹ch	6	1	203	5	2	99	Phï Dung Th¹ch	6	1	203	5	1	103	MËt Ng©n kho¸ng	6	1	202	6		111	Ngò §éc Ch­ëng Ph¸p. QuyÓn 1	6	1	47											U Lung MÆc Thï NhuyÔn Lý 	1	0	60				0	0	
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	Vâ L©m MËt TÞch	6	1	26				MËt Ng©n kho¸ng	6	1	202	4		137	Chu Sa kho¸ng	6	1	204	6		115	Khæng T­íc Th¹ch	6	1	201	7	0	121	Phï Dung Th¹ch	6	1	203	5	2	123	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				Minh ¶o Tµ S¸t §éc NhËn	1	0	61				0	0	
§å phæ Hoµng Kim - Minh ¶o U Cæ ¸m Y	6	1	300	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48				MËt Ng©n kho¸ng	6	1	202	7		113	Phï Dung Th¹ch	6	1	203	6	3	104	Chu Sa kho¸ng	6	1	204	7		89	Chung Nhò th¹ch	6	1	205	6	2	110	Minh ¶o U §éc ¸m Y	1	0	62				0	0	
§å phæ Hoµng Kim - Minh ¶o Thanh YÕt ChØ Hoµn	6	1	301	Vâ L©m MËt TÞch	6	1	26																																							Minh ¶o §éc YÕt ChØ Hoµn	1	0	63				0	0	
§å phæ Hoµng Kim - Minh ¶o Hñ Cèt Hé UyÓn	6	1	302	HuyÒn ThiÕt kho¸ng	6	1	200	8		85	Khæng T­íc Th¹ch	6	1	201	8	3	106	Vâ L©m MËt TÞch	6	1	26				Phï Dung Th¹ch	6	1	203	7	3	104	Ngò §éc §ao ph¸p. QuyÓn 2	6	1	48											Minh ¶o Hñ Cèt Hé uyÓn	1	0	64				0	0	
