Id	Title	Time	EVENT_MOVE	EVENT_ATTACK	EVENT_SITE	EVENT_RIDE	EVENT_USEITEM	EVENT_ARRANGEITEM	EVENT_DROPITEM	EVENT_CHANGEEQUIP	EVENT_TRADE	EVENT_CHANGEFIGHTSTATE	EVENT_ATTACKED	EVENT_DEATH	EVENT_REVIVE	EVENT_BUYITEM	EVENT_SELLITEM	EVENT_TALK	comment
20	зang H╕i HoaЕ	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╬х╘┬╗ю╢п
21	зang H╕i HoaЕ	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
22	зang th∙c hi╓nЕ	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
23	зang о╕nh trшngЕ	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
24	зang Nh╦n TiкuЕ	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
25	зang Giao TiкuЕ	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
26	зang Cйu C╕Е	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2013─ъ╢╦╬ч╗ю╢п
27	зang H╕i Qu╢Е	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
28	зang H╕i Qu╢Е	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
29	зang H╕i Qu╢Е	22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
30	зang H╕i Qu╢Е	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
31	зang H╕i Qu╢Е	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
32	зang H╕i Qu╢Е	25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
33	зang H╕i Qu╢Е	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
34	зang H╕i Qu╢Е	27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
35	зang H╕i Qu╢Е	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
36	зang H╕i Qu╢Е	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
37	зang H╕i Qu╢Е	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
38	зang H╕i Qu╢Е	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
39	зang H╕i Qu╢Е	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
40	зang H╕i Qu╢Е	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
41	зang H╕i Qu╢Е	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
42	зang H╕i Qu╢Е	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
43	зang H╕i Qu╢Е	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
44	зang H╕i Qu╢Е	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
45	зang H╕i Qu╢Е	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
46	зang H╕i Qu╢Е	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
47	зang H╕i Qu╢Е	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
48	зang H╕i Qu╢Е	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	╗╞╜Ё╓о╣√
