Tªn Thuéc TÝnh				ID	Min	Max	H	I	Skill	Skill	L
Phong Thñ VËt Lý				104	-5	5	-1	-1	0	0	0
Phong Thñ VËt Lý				104	15	25	-1	-1	0	0	0
Phong Thñ VËt Lý				104	20	30	-1	-1	0	0	0
Phong Thñ VËt Lý				104	30	50	-1	-1	0	0	0
T¨ng May M¾n				135	6	10	-1	-1	0	0	0
T¨ng May M¾n				135	8	12	-1	-1	0	0	0
T¨ng May M¾n				135	15	25	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	-10	10	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	25	40	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	35	50	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	40	50	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	-5	5	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	12	20	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	16	24	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	30	40	-1	-1	0	0	0
Hót Néi Lùc				136	2	6	-1	-1	0	0	0
Hót Néi Lùc				136	4	8	-1	-1	0	0	0
Hót Néi Lùc				136	6	10	-1	-1	0	0	0
Hót Sinh Lùc				137	2	10	-1	-1	0	0	0
Hót Sinh Lùc				137	4	8	-1	-1	0	0	0
Hót Sinh Lùc				137	8	12	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	8	12	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
ChuyÓn Hãa S¸t Th­¬ng Thµnh Néi Lùc				134	1	1	-1	-1	0	0	0
Kh¸ng §éc				164	10	20	-1	-1	0	0	0
Tèc §é §¸nh Néi C«ng				116	24	36	-1	-1	0	0	0
Kh«ng ThÓ Ph¸ Hñy				43	1	1	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	1	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	2	2	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	3	3	-1	-1	0	0	0
TÊn C«ng TrÝ M¹ng				146	5	10	-1	-1	0	0	0
TÊn C«ng TrÝ M¹ng				146	8	12	-1	-1	0	0	0
Bá Qua NÐ Tr¸nh				58	1	2	-1	-1	0	0	0
Bá Qua NÐ Tr¸nh				58	8	12	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn §iÓm				117	5	10	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn §iÓm				117	8	12	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn §iÓm				117	12	16	-1	-1	0	0	0
Bá Qua Phßng Thñ §èi Ph­¬ng				168			-1	-1	0	0	0
Bá Qua Phßng Thñ §èi Ph­¬ng				168			-1	-1	0	0	0
Bá Qua Phßng Thñ §èi Ph­¬ng				168			-1	-1	0	0	0
§éc s¸t Néi C«ng				172	20	30	-1	-1	0	0	0
§éc s¸t Néi C«ng				172			-1	-1	0	0	0
§éc s¸t Néi C«ng				172			-1	-1	0	0	0
B¨ng S¸t Néi C«ng				169	120	200	-1	-1	0	0	0
B¨ng S¸t Néi C«ng				169	160	240	-1	-1	0	0	0
B¨ng S¸t Néi C«ng				169	200	300	-1	-1	0	0	0
Háa S¸t Néi C«ng				170			-1	-1	0	0	0
Háa S¸t Néi C«ng				170	80	120	-1	-1	0	0	0
Háa S¸t Néi C«ng				170	120	200	-1	-1	0	0	0
L«i S¸t N«i C«ng				171	200	300	-1	-1	0	0	0
L«i S¸t N«i C«ng				171	100	150	-1	-1	0	0	0
L«i S¸t N«i C«ng				171	120	180	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	273	273	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	36	36	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	252	252	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	92	92	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	114	114	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	75	75	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	72	72	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	48	48	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	345	345	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	130	130	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	150	150	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	364	364	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	166	166	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	275	275	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	174	174	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	8	8	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	271	271	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	14	14	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	16	16	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	21	21	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	4	4	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	11	11	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	10	10	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	6	6	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	19	19	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	26	26	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	32	32	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	34	34	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	37	37	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	42	42	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	23	23	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	41	41	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	24	24	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	30	30	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	35	35	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	324	324	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	29	29	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	31	31	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	77	77	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	88	88	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	80	80	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	85	85	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	86	86	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	79	79	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	82	82	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	91	91	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	282	282	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	82	82	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	93	93	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	95	95	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	108	108	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	99	99	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	105	105	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	270	270	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	97	97	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	102	102	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	113	113	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	43	43	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	249	249	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	45	45	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	50	50	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	58	58	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	54	54	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	341	341	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	47	47	0
Kh«ng ThÓ Ph¸ Hñy				43	1	3	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	347	347	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	303	303	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	343	343	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	349	349	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	62	62	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	71	71	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	63	63	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	68	68	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	73	73	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	60	60	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	74	74	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	65	65	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	356	356	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	67	67	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	64	64	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	70	70	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	116	116	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	128	128	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	122	122	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	274	274	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	277	277	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	115	115	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	119	119	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	124	124	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	132	132	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	142	142	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	135	135	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	141	141	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	146	146	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	131	131	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	148	148	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	145	145	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	138	138	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	143	143	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	136	136	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	137	137	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	140	140	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	151	151	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	267	267	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	155	155	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	158	158	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	160	160	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	152	152	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	165	165	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	153	153	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	164	164	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	167	167	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	176	176	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	169	169	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	178	178	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	171	171	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	168	168	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	182	182	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	179	179	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	172	172	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	175	175	0
Kh«ng ThÓ Ph¸ Hñy				43	1	3	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	173	173	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	181	181	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	40	40	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	33	33	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	109	109	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	69	69	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	18	18	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	157	157	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	156	156	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	159	159	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	160	160	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	125	125	0
Kh«ng ThÓ Ph¸ Hñy				43	1	3	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	111	111	0
Ph¶n §ßn CËn ChiÕn %				118	5	10	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn %				118	8	12	-1	-1	0	0	0
Ph¶n §ßn CËn ChiÕn %				118	12	16	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa %				120	5	10	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa %				120	8	12	-1	-1	0	0	0
Ph¶n §ßn TÇm Xa %				120	12	16	-1	-1	0	0	0
T¨ng Søc M¹nh				97	-55	5	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	-55	5	-1	-1	0	0	0
T¨ng N«i C«ng				100	-55	5	-1	-1	0	0	0
T¨ng Th©n Ph¸p				98	-55	5	-1	-1	0	0	0
Tèc §é §¸nh Néi C«ng				116	10	20	-1	-1	0	0	0
Tèc §é §¸nh Néi C«ng				116	18	30	-1	-1	0	0	0
Tèc §é §¸nh Néi C«ng				116	20	40	-1	-1	0	0	0
Tèc §é §¸nh Néi C«ng				116	45	60	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	40	50	-1	-1	0	0	0
Phßng Thñ VËt Lý				104	25	30	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	36	45	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	40	50	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	15	20	-1	-1	0	0	0
Kh¸ng Háa				102	25	30	-1	-1	0	0	0
Kh¸ng B¨ng				105	25	30	-1	-1	0	0	0
Kh¸ng §éc				101	25	30	-1	-1	0	0	0
T¨ng Sinh Lùc				85	80	120	-1	-1	0	0	0
T¨ng May M¾n				135	1	2	-1	-1	0	0	0
T¨ng May M¾n				135	1	3	-1	-1	0	0	0
Phong Thñ VËt Lý				104	20	25	-1	-1	0	0	0
Søc M¹nh				97	8	12	-1	-1	0	0	0
Th©n Ph¸p				98	8	12	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	40	60	-1	-1	0	0	0
Kh¸ng B¨ng				105	20	25	-1	-1	0	0	0
Kh¸ng §éc				101	20	25	-1	-1	0	0	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	15	15	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	318	318	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	319	319	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	321	321	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	322	322	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	385	385	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	328	328	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	380	380	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	89	89	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	332	332	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	336	336	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	353	353	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	384	384	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	355	355	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	390	390	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	339	339	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	302	302	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	342	342	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	351	351	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	357	357	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	359	359	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	361	361	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	362	362	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	391	391	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	365	365	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	368	368	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	372	372	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	375	375	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	392	392	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	393	393	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	90	90	0
Kü N¨ng Vèn Cã				139	1	3	-1	-1	394	394	0
Kh¸ng L«i				103	6	12	-1	-1	0	0	0
Kh¸ng L«i				103	6	18	-1	-1	0	0	0
Kh¸ng Háa				102	5	10	-1	-1	0	0	0
Kh¸ng Háa				102	5	15	-1	-1	0	0	0
Phong Thñ VËt Lý				104	5	8	-1	-1	0	0	0
Kh¸ng B¨ng				105	5	15	-1	-1	0	0	0
Kh¸ng §éc				101	5	10	-1	-1	0	0	0
Kh¸ng §éc				101	5	15	-1	-1	0	0	0
T¨ng Néi Lùc §iÓm				89	80	120	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	20	30	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	20	30	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	2	5	-1	-1	0	0	0
T¨ng Sinh Lùc				85	60	80	-1	-1	0	0	0
T¨ng Néi Lùc				89	60	80	-1	-1	0	0	0
T¨ng Sinh Lùc				85	33	33	-1	-1	0	0	0
Phong Thñ VËt Lý				104	30	30	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	50	50	-1	-1	0	0	0
T¨ng Sinh Lùc				85	187	187	-1	-1	0	0	0
Kh¸ng TÊt C¶				114	20	20	-1	-1	0	0	0
Kh¸ng Háa				102	11	11	-1	-1	0	0	0
T¨ng Néi Lùc				89	88	88	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	2	2	-1	-1	0	0	0
T¨ng ThÓ Lùc				93	41	41	-1	-1	0	0	0
Phong Thñ VËt Lý				104	25	25	-1	-1	0	0	0
T¨ng Sinh Lùc				85	68	68	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	20	20	-1	-1	0	0	0
T¨ng Sinh Lùc				85	30	30	-1	-1	0	0	0
T¨ng Kh¸ng L«i				103	30	30	-1	-1	0	0	0
T¨ng ThÓ Lùc				93	96	96	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	2	2	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	100	100	-1	-1	0	0	0
T¨ng ThÓ Lùc				93	17	17	-1	-1	0	0	0
T¨ng Sinh Lùc				85	41	41	-1	-1	0	0	0
Kh¸ng Háa				102	25	25	-1	-1	0	0	0
Tèc §é Di ChuyÓn				111	37	37	-1	-1	0	0	0
Ngo¹i C«ng				99	6	6	-1	-1	0	0	0
T¨ng Néi Lùc				89	69	69	-1	-1	0	0	0
Ngo¹i C«ng				99	4	4	-1	-1	0	0	0
§é ChÝnh X¸c §iÓm				166	249	249	-1	-1	0	0	0
S¸t Th­¬ng VËt Lý %				126	94	94	-1	-1	6	6	0
S¸t Th­¬ng VËt Lý §iÓm				121	31	31	-1	-1	0	0	0
Hót Néi Lùc				136	7	7	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm				123	115	115	-1	-1	0	0	0
T¨ng Sinh Lùc				85	181	181	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	6	6	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	40	40	-1	-1	0	0	0
T¨ng Néi Lùc				89	139	139	-1	-1	0	0	0
Th©n Ph¸p				98	20	20	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	40	40	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	5	5	-1	-1	0	0	0
