Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
S¾t thÐp	1		3	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Kiªn cè 	1		4	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Kiªn c­êng	1		5	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		6	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Th¸nh thiÖn	1		7	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		8	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Chóc phóc	1		9	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
ThÇn H÷u	1		10	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	50000	0	0	0	0	0
§õng véi	1		4	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	60000	0	0	0	0	0
Nhanh chãng	1		6	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	70000	0	0	0	0	0
Bay l­în	1		8	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	80000	0	0	0	0	0
Khoa Phô 	1		10	111	40	40	-1	-1	0	0	T¨ng tèc ®é ch¹y vµ ®i bé 	0	0	0	0	0	500000	0	0	0	0	0
Gai nhän	1		3	117	20	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	1000	0	0	0	0	0	0	0	0
§©m ng· 	1		9	117	20	20	-1	-1	0	0	Ph¶n ®ßn VËt lý 	0	0	50000	0	0	0	0	0	0	0	0
Ngµy b×nh th­êng	1		3	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	300000	0	0	0	0	0	0	0	0
æn ®Þnh	1		6	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	400000	0	0	0	0	0	0	0	0
C©n ®èi	1		9	113	40	40	-1	-1	0	0	Phôc håi tr¹ng th¸i c«ng kÝch	0	0	500000	0	0	0	0	0	0	0	0
¸nh s¸ng	1		1	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
MÆt tr¨ng	1		2	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
Ph¸t s¸ng	1		3	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
NhÊp nh¸y	1		4	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
¸nh s¸ng chãi läi	1		5	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
MÆt trêi	1		6	112	6	6	-1	-1	0	0	T¨ng ph¹m vi s¸t th­¬ng	0	0	0	0	0	0	0	0	0	0	0
Th¸i S­ 	1		10	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	0	0	0	0	0	0	0	0	0	0	0
T«ng s­ 	1		10	139	1	1	-1	-1	0	0	T¨ng kü n¨ng	0	0	0	0	0	0	0	0	0	0	0
L¨ng kÝnh	1		1	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	8000	0	0	0	0	0	0
CÇu vång	1		2	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	9000	0	0	0	0	0	0
b¶y mµu	1		3	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	10000	0	0	0	0	0	0
Hµo quang	1		4	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	20000	0	0	0	0	0	0
¸nh chíp	1		5	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	30000	0	0	0	0	0	0
CÇu vång	1		6	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	40000	0	0	0	0	0	0
CÇu vång	1		7	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	50000	0	0	0	0	0	0
CÇu vång	1		8	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	60000	0	0	0	0	0	0
Toµn th¹ch 	1		9	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	80000	0	0	0	0	0	0
CÇu vång	1		10	114	20	20	-1	-1	0	0	t¨ng phßng thñ 	0	0	0	0	300000	0	0	0	0	0	0
Hót m¸u	1		2	136	10	10	-1	-1	0	0	hót Sinh lùc	2000	2000	0	0	0	0	0	0	0	0	0
Con muçi	1		5	136	10	10	-1	-1	0	0	hót Sinh lùc	3000	3000	0	0	0	0	0	0	0	0	0
Con ®Øa	1		7	136	10	10	-1	-1	0	0	hót Sinh lùc	4000	4000	0	0	0	0	0	0	0	0	0
Hoa ¨n thÞt ng­êi	1		10	136	10	10	-1	-1	0	0	hót Sinh lùc	5000	5000	0	0	0	0	0	0	0	0	0
Con d¬i	1		2	137	10	10	-1	-1	0	0	hót Néi lùc	2000	2000	0	0	0	0	0	0	0	0	0
Quû hån	1		5	137	10	10	-1	-1	0	0	hót Néi lùc	3000	3000	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		7	137	10	10	-1	-1	0	0	hót Néi lùc	4000	4000	0	0	0	0	0	0	0	0	0
Ch©u chÊu	1		10	137	10	10	-1	-1	0	0	hót Néi lùc	10000	30000	0	0	0	0	0	0	0	0	0
Sinh lùc	1		1	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	500	500	5000	5000	6000	5000	5000	5000	5000	50000	0
Tr­êng thä 	1		2	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	20000	600	6000	6000	7000	6000	6000	6000	6000	60000	0
Tr­êng thä 	1		3	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	30000	700	7000	7000	8000	7000	7000	7000	7000	70000	0
Tr­êng sinh	1		4	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	40000	800	8000	8000	9000	8000	8000	8000	8000	80000	0
Tr­êng sinh	1		5	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	50000	900	9000	9000	10000	9000	9000	9000	9000	90000	0
Sinh ®éng	1		6	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	60000	1000	10000	10000	20000	10000	10000	10000	10000	100000	0
Sinh ®éng	1		7	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	70000	1100	11000	11000	30000	11000	11000	11000	11000	110000	0
Sinh linh	1		8	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	80000	1200	12000	12000	40000	12000	12000	12000	12000	120000	0
Sinh linh	1		9	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	90000	1300	13000	13000	50000	13000	13000	13000	13000	130000	0
Tr­êng thä 	1		10	85	200	200	-1	-1	0	0	T¨ng Sinh lùc 	100000	50000	350000	350000	500000	350000	350000	350000	350000	350000	0
Néi lùc	1		1	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	3000	500	5000	5000	6000	5000	5000	5000	5000	50000	0
Søc sèng	1		2	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	4000	600	6000	6000	7000	6000	6000	6000	6000	60000	0
Søc sèng	1		3	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	5000	700	7000	7000	8000	7000	7000	7000	7000	70000	0
ThÞnh v­îng	1		4	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	6000	800	8000	8000	9000	8000	8000	8000	8000	80000	0
ThÞnh v­îng	1		5	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	7000	900	9000	9000	10000	9000	9000	9000	9000	90000	0
Th©m hËu	1		6	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	8000	1000	10000	10000	20000	10000	10000	10000	10000	100000	0
Th©m hËu	1		7	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	9000	1100	11000	11000	30000	11000	11000	11000	11000	110000	0
V« cïng	1		8	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	10000	1200	12000	12000	40000	12000	12000	12000	12000	120000	0
V« cïng	1		9	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	20000	1300	13000	13000	50000	13000	13000	13000	13000	130000	0
V« tËn	1		10	89	200	200	-1	-1	0	0	T¨ng Néi lùc 	30000	30000	350000	350000	350000	350000	350000	350000	350000	350000	0
L©u dµi	1		1	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	500	500	500	5000	1000	2000	2000	2000	2000	2000	0
L©u dµi	1		2	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	600	600	600	6000	2000	3000	3000	3000	3000	3000	0
L©u dµi	1		3	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	700	700	700	7000	3000	4000	4000	4000	4000	4000	0
L©u dµi	1		4	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	800	800	800	8000	4000	5000	5000	5000	5000	5000	0
Kh«ng ngõng	1		5	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	900	900	900	9000	5000	7000	7000	7000	7000	7000	0
Kh«ng ngõng	1		6	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	1000	1000	1000	10000	6000	8000	8000	8000	8000	80000	0
Kh«ng ngõng	1		7	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	5000	5000	1100	11000	7000	9000	9000	9000	9000	90000	0
Kh«ng ngõng	1		8	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	8000	8000	1200	12000	8000	10000	10000	10000	10000	10000	0
S©u th¼m	1		9	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	9000	9000	8000	13000	9000	10000	20000	20000	20000	20000	0
S©u th¼m	1		10	93	200	200	-1	-1	0	0	T¨ng thÓ lùc 	10000	10000	10000	50000	10000	30000	30000	30000	30000	30000	0
£m dÞu	1		1	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	1000	0	0	8000	8000	8000	8000	0	0
£m dÞu	1		3	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	2000	0	0	10000	10000	10000	10000	0	0
Nhu m× 	1		5	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	3000	0	0	20000	20000	20000	20000	0	0
Phôc sinh	1		6	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	4000	0	0	30000	30000	30000	30000	0	0
 tûnh l¹i	1		8	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	5000	0	0	40000	40000	40000	40000	0	0
phôc sinh	1		10	88	6	6	-1	-1	0	0	T¨ng tèc ®é håi phôc Sinh lùc	0	0	50000	0	0	50000	50000	50000	50000	0	0
BiÓn réng	1		2	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	70000	0
Sãng giã 	1		5	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	80000	0
M­a to	1		7	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	90000	0
Lµn sãng	1		10	92	4	4	-1	-1	0	0	T¨ng tèc ®é håi phôc Néi lùc	0	0	0	0	0	0	0	0	0	100000	0
Dåi dµo	1		1	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	6000	0	0	0	0	0	0
MÒm dÎo	1		3	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	7000	0	0	0	0	0	0
Tranh thñ 	1		5	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	8000	0	0	0	0	0	0
Tranh thñ 	1		6	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	9000	0	0	0	0	0	0
Tranh thñ 	1		7	96	9	9	-1	-1	0	0	T¨ng tèc ®é håi phôc ThÓ lùc	0	0	0	30000	50000	0	0	0	0	0	0
Søc m¹nh	0	0	1	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Søc m¹nh	0	0	2	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Uy lùc	0	0	3	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Uy lùc	0	0	4	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Søc m¹nh	0	0	5	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Søc m¹nh	0	0	6	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Tr©u rõng	0	0	7	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Ng­êi khæng lå 	0	0	8	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
S¬n ThÇn 	0	0	9	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	20000	20000	0	0	0	0	20000	0
Céng C«ng	0	0	10	97	20	20	-1	-1	0	0	t¨ng søc m¹nh	0	0	0	100000	100000	0	0	0	0	100000	0
Dao nhän	0	0	1	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	10000	10000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	2	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	20000	20000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	3	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	30000	30000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	4	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	40000	40000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	5	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	50000	50000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	6	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	60000	60000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	7	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	70000	70000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	8	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	80000	80000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	9	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	90000	90000	0	0	0	0	0	0	0	0	0
Dao nhän	0	0	10	121	50	50	-1	-1	0	0	t¨ng s¸t th­¬ng VËt lý 	100000	100000	0	0	0	0	0	0	0	0	0
N­íc ®éc 	0	1	1	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	60	60	0	0	0	0	0	0	0	0	0
§éc Xµ 	0	1	2	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	70	20000	0	0	0	0	0	0	0	0	0
Cá kh« 	0	1	3	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	80	30000	0	0	0	0	0	0	0	0	0
¤n dÞch	0	1	4	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	90	40000	0	0	0	0	0	0	0	0	0
O¸n hËn	0	1	5	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	100	50000	0	0	0	0	0	0	0	0	0
TruyÒn nhiÔm	0	1	6	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	60000	200	0	0	0	0	0	0	0	0	0
Thèi röa	0	1	7	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	300	70000	0	0	0	0	0	0	0	0	0
KÞch §éc	0	1	8	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	400	80000	0	0	0	0	0	0	0	0	0
ChÝ tö 	0	1	9	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	500	90000	0	0	0	0	0	0	0	0	0
§o¹n hån	0	1	10	125	50	50	-1	-1	0	0	T¨ng s¸t §éc s¸t	60000	100000	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	1	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	60	60	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	2	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	70	70	0	0	0	0	0	0	0	0	0
L¹nh gi¸ 	0	2	3	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	80	80	0	0	0	0	0	0	0	0	0
®ãng b¨ng 	0	2	4	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	90	90	0	0	0	0	0	0	0	0	0
B¨ng tuyÕt 	0	2	5	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	100	100	0	0	0	0	0	0	0	0	0
Hµn §«ng	0	2	6	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	200	200	0	0	0	0	0	0	0	0	0
L¹nh buèt	0	2	7	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	300	300	0	0	0	0	0	0	0	0	0
L¹nh buèt 	0	2	8	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	400	400	0	0	0	0	0	0	0	0	0
B¨ng cùc	0	2	9	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	500	500	0	0	0	0	0	0	0	0	0
Chuyªn Hóc	0	2	10	123	100	100	-1	-1	0	0	T¨ng s¸t B¨ng s¸t	65000	65000	0	0	0	0	0	0	0	0	0
§Þa DiÖm háa	0	3	1	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	10000	0	0	0	0	0	0	0	0	0
Hµo quang	0	3	2	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	200000	20000	0	0	0	0	0	0	0	0	0
NhiÖt t×nh	0	3	3	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	300000	30000	0	0	0	0	0	0	0	0	0
T×nh c¶m m·nh liÖt	0	3	4	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	400000	40000	0	0	0	0	0	0	0	0	0
®èt 	0	3	5	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	500000	50000	0	0	0	0	0	0	0	0	0
Thiªu ®èt	0	3	6	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	600000	60000	0	0	0	0	0	0	0	0	0
Löa ®á 	0	3	7	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	700000	70000	0	0	0	0	0	0	0	0	0
XÝch DiÖm	0	3	8	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	800000	80000	0	0	0	0	0	0	0	0	0
Löa ®á	0	3	9	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	900000	90000	0	0	0	0	0	0	0	0	0
Viªm ®Õ	0	3	10	122	100	100	-1	-1	0	0	T¨ng Ho¶ s¸t	100000	100000	0	0	0	0	0	0	0	0	0
TiÕng sÊm	0	4	1	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	1000	1000	0	0	0	0	0	0	0	0	0
§iÖn kÝch	0	4	2	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	2000	2000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	3	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	3000	3000	0	0	0	0	0	0	0	0	0
Trung hßa ®iÖn	0	4	4	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	4000	4000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	5	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	5000	5000	0	0	0	0	0	0	0	0	0
¸nh chíp	0	4	6	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	6000	6000	0	0	0	0	0	0	0	0	0
SÊm sÐt	0	4	7	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	7000	7000	0	0	0	0	0	0	0	0	0
Thiªn L«i 	0	4	8	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	8000	8000	0	0	0	0	0	0	0	0	0
L«i C«ng	0	4	9	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	9000	9000	0	0	0	0	0	0	0	0	0
L«i ThÇn 	0	4	10	124	100	100	-1	-1	0	0	T¨ng L«i s¸t	10000	10000	0	0	0	0	0	0	0	0	0
Kim Tinh 	0	0	3	134	10	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	10000	10000	10000	0	0	10000	10000	10000	10000	0	0
Kim Ph¸ch	0	0	6	134	10	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	20000	20000	30000	0	0	30000	30000	30000	50000	0	0
Kim ThÇn 	0	0	10	134	10	10	-1	-1	0	0	ChuyÓn hãa s¸t th­¬ng vËt lý thµnh Néi lùc	30000	30000	500000	0	0	500000	500000	500000	500000	0	0
V« h×nh	0	3	2	104	25	25	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	20000	0	0	20000	20000	20000	20000	0	0
HuyÔn nhí 	0	3	4	104	25	25	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	30000	0	0	30000	30000	30000	30000	0	0
ThÊp tho¸ng	0	3	6	104	25	25	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	40000	0	0	40000	40000	40000	40000	0	0
H­ ¶o	0	3	8	104	25	25	-1	-1	0	0	Bá qua s¸t th­¬ng vËt lý 	0	0	50000	0	0	50000	50000	50000	100000	0	0
