nW	nX	nY
2	2538	3827
2	2531	3825
2	2514	3810
2	2576	3778
2	2583	3749
2	2574	3725
2	2565	3715
2	2551	3743
2	2534	3747
2	2522	3733
2	2507	3727
2	2489	3727
2	2473	3746
2	2452	3744
2	2431	3731
2	2415	3711
2	2417	3690
2	2407	3671
2	2403	3649
2	2402	3628
2	2406	3611
2	2401	3585
2	2404	3561
2	2403	3539
2	2401	3522
2	2400	3500
2	2423	3473
2	2432	3488
2	2441	3471
2	2439	3449
2	2426	3523
2	2426	3546
2	2429	3565
2	2433	3586
2	2447	3587
2	2466	3583
2	2480	3585
2	2479	3558
2	2482	3534
2	2486	3515
2	2496	3495
2	2501	3479
2	2514	3471
2	2525	3468
2	2537	3468
2	2539	3474
2	2527	3483
2	2518	3494
2	2527	3514
2	2523	3541
2	2522	3554
2	2523	3573
2	2519	3588
