DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	73	1992	6	650000000	850000000
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	74	1998	6	400000000	800000000
B¨ng Hµn NguyÖt ¶nh Ngoa	0	75	2004	6	1400000000	2100000000
Thiªn Quang Hoa Vò M¹n Thiªn	0	76	2010	9	400000000	700000000
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	77	2019	6	900000000	1200000000
Thiªn Quang S©m La Thóc §¸i	0	78	2025	6	450000000	800000000
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	79	2031	6	450000000	650000000
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	80	2037	6	450000000	800000000
S©m Hoµng Phi Tinh §o¹t Hån	0	81	2043	9	400000000	600000000
S©m Hoµng Kim TiÒn Liªn Hoµn Gi¸p	0	82	2052	6	300000000	500000000
S©m Hoµng Hån Gi¶o Yªu Thóc	0	83	2058	6	300000000	450000000
S©m Hoµng HuyÒn ThiÕt T­¬ng Ngäc Béi	0	84	2064	6	150000000	250000000
S©m Hoµng Tinh V©n Phi Lý 	0	85	2070	6	200000000	350000000
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	86	2076	6	300000000	450000000
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	87	2082	6	20000000	30000000
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	88	2088	9	100000000	150000000
§Þa Ph¸ch KhÊu T©m tr¹c	0	89	2097	6	5000000	10000000
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	90	2103	6	5000000	10000000
§ång Cõu Phi Long §Çu hoµn	0	91	2109	6	5000000	10000000
§ång Cõu Gi¸ng Long C¸i Y	0	92	2115	6	100000000	180000000
§ång Cõu TiÒm Long Yªu §¸i	0	93	2121	6	100000000	180000000
§ång Cõu Kh¸ng Long Hé UyÓn	0	94	2127	6	80000000	120000000
§ång Cõu KiÕn Long Ban ChØ 	0	95	2133	9	100000000	180000000
§Þch Kh¸i Lôc Ngäc Tr­îng	0	96	2142	9	10000000	15000000
§Þch Kh¸i Cöu §¹i C¸i Y	0	97	2151	6	500000	1000000
§Þch Kh¸i TriÒn M·ng yªu ®¸i	0	98	2157	6	500000	1000000
§Þch Kh¸i CÈu TÝch B× Hé uyÓn	0	99	2163	6	100000000	150000000
§Þch Kh¸i Th¶o Gian Th¹ch giíi	0	100	2169	9	200000000	220000000
Ma S¸t Quû Cèc U Minh Th­¬ng	0	101	2178	9	500000	1000000
Ma S¸t Tµn D­¬ng ¶nh HuyÕt Gi¸p	0	102	2187	6	500000	1000000
Ma S¸t XÝch Ký Táa Yªu KhÊu	0	103	2193	6	5000000	10000000
Ma S¸t Cö Háa Liªu Thiªn uyÓn	0	104	2199	6	400000000	400000000
Ma S¸t V©n Long Thæ Ch©u giíi	0	105	2205	9	200000000	200000000
Ma Hoµng Kim Gi¸p Kh«i	0	106	2214	6	200000000	200000000
Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	0	107	2220	6	5000000000	5000000000
Ma Hoµng Khª Cèc Thóc yªu ®¸i	0	108	2226	6	200000000	200000000
Ma Hoµng HuyÕt Y Thó Tr¹c	0	109	2232	6	300000000	300000000
Ma Hoµng §¨ng §iÖp Ngoa	0	110	2238	6	2500000000	2500000000
Ma ThÞ LiÖt DiÖm Qu¸n MiÖn	0	111	2244	6	200000000	200000000
Ma ThÞ LÖ Ma PhÖ T©m Liªn	0	112	2250	6	5000000000	5000000000
Ma ThÞ NghiÖp Háa U Minh Giíi	0	113	2256	9	1000000000	1000000000
Ma ThÞ HuyÕt Ngäc ThÊt S¸t Béi	0	114	2265	6	80000000	400000000
Ma ThÞ s¬n  H¶i Phi Hång Lý 	0	115	2271	6	50000000	250000000
L¨ng Nh¹c Th¸i Cùc KiÕm	0	116	2277	9	50000000	250000000
L¨ng Nh¹c V« Ng· ®¹o bµo	0	117	2286	6	30000000	150000000
L¨ng Nh¹c Né L«i Giíi	0	118	2292	9	30000000	150000000
L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	0	119	2301	6	30000000	150000000
L¨ng Nh¹c Thiªn §Þa HuyÒn Hoµng giíi	0	120	2307	9	30000000	150000000
CËp Phong Ch©n Vò KiÕm	0	121	2316	9	30000000	150000000
CËp Phong Tam Thanh Phï 	0	122	2325	6	30000000	150000000
CËp Phong HuyÒn Ti Tam §o¹n cÈm	0	123	2331	6	30000000	150000000
CËp Phong Thóy Ngäc HuyÒn Hoµng Béi	0	124	2337	6	30000000	150000000
CËp Phong Thanh Tïng Ph¸p giíi	0	125	2343	9	30000000	150000000
S­¬ng Tinh Thiªn Niªn Hµn ThiÕt	0	126	2352	9	30000000	150000000
S­¬ng Tinh Ng¹o S­¬ng ®¹o bµo	0	127	2361	6	30000000	150000000
S­¬ng Tinh Thanh Phong L÷ ®¸i	0	128	2367	6	30000000	150000000
S­¬ng Tinh Thiªn Tinh B¨ng Tinh thñ 	0	129	2373	6	30000000	150000000
S­¬ng Tinh Phong B¹o chØ hoµn	0	130	2379	9	30000000	150000000
L«i Khung Hµn Tung B¨ng B¹ch qu¸n	0	131	2388	6	30000000	150000000
L«i Khung Thiªn §Þa Hé phï 	0	132	2394	6	30000000	150000000
L«i Khung Phong L«i Thanh CÈm ®¸i	0	133	2400	6	30000000	150000000
L«i Khung Linh Ngäc UÈn L«i	0	134	2406	6	30000000	150000000
L«i Khung Cöu Thiªn DÉn L«i giíi	0	135	2412	9	30000000	150000000
Vô ¶o B¾c Minh §¹o qu¸n	0	136	2421	6	30000000	150000000
Vô ¶o Ki B¸n phï chó 	0	137	2427	6	30000000	150000000
Vô ¶o Thóc T©m chØ hoµn	0	138	2433	9	30000000	150000000
Vô ¶o Thanh ¶nh HuyÒn Ngäc Béi	0	139	2442	6	30000000	150000000
Vô ¶o Tung Phong TuyÕt ¶nh ngoa	0	140	2448	6	30000000	150000000
§Þnh Quèc ¤ Sa Ph¸t Qu¸n	0	160	921	6	30000000	150000000
§Þnh Quèc Thanh Sa Tr­êng Sam	0	159	927	4	30000000	150000000
§Þnh Quèc XÝch Quyªn NhuyÔn Ngoa	0	161	931	4	30000000	150000000
§Þnh Quèc Tö §»ng Hé UyÓn	0	162	935	4	30000000	150000000
§Þnh Quèc Ng©n Tµm Yeu §¸i	0	163	939	4	30000000	150000000
Nhu Tinh C©n Quèc Nghª Th­êng	0	190	903	6	30000000	150000000
Nhu Tinh Thôc N÷ H¹ng Liªn	0	191	909	4	30000000	150000000
Nhu Tinh Phông Nghi Giíi ChØ	0	192	913	4	30000000	150000000
Nhu Tinh TuÖ T©m Ngäc Béi	0	193	917	4	30000000	150000000
HiÖp Cèt T×nh ý KÕt	0	189	885	6	30000000	150000000
HiÖp Cèt ThiÕt HuyÕt Sam	0	186	891	4	30000000	150000000
HiÖp Cèt §a T×nh Hoµn	0	187	895	4	30000000	150000000
HiÖp Cèt §an T©m Giíi	0	188	899	4	30000000	150000000
An Bang Tinh Th¹ch H¹ng Liªn	0	164	861	6	30000000	150000000
An Bang Cóc Hoa Th¹ch ChØ Hoµn	0	165	867	6	30000000	150000000
An Bang §iÒn Hoµng Th¹ch Ngäc Béi	0	166	873	6	30000000	150000000
An Bang Kª HuyÕt Th¹ch Giíi ChØ	0	167	879	6	30000000	150000000
Kim Quang Ngò S¾c Ngäc Béi	0	200	798	9	30000000	150000000
Kim Quang B¾c Kinh Chi Méng	0	197	807	9	30000000	150000000
Kim Quang Nh· §iÓn Chi Hån	0	202	816	9	30000000	150000000
Kim Quang TrÝch Tinh Hoµn	0	194	825	6	30000000	150000000
Kim Quang §­êng Nghª Gi¸p	0	195	831	6	30000000	150000000
Kim Quang Lôc PhØ Thóy Hé Th©n Phï	0	196	837	6	30000000	150000000
Kim Quang B¹ch Kim Yªu §¸i	0	198	843	6	30000000	150000000
Kim Quang Thiªn Tµm Hé UyÓn	0	199	849	6	30000000	150000000
Kim Quang Thiªn Tµm Ngoa	0	201	855	6	30000000	150000000
Kim Quang B«n L«i Toµn Long Th­¬ng	0	203	789	9	30000000	150000000
